Copied from: https://spreadsheets.google.com/spreadsheet/pub?key=0Aupo9cbROrtacHcxaXlYaVVCcU9lZEJTWkZ6eTAzRnc&gid=1					
Tiger Wood	Joscelyn L. Rivers	Mermaids on Parade Committee	Virginia Zoo	found	
					
Toga	Mary Anne Gamboa	Goodman & Company/Wilbanks, Smith and Thomas	Berkley Ave. and Main St.	found	
					
USS Wisconsin	Myke Irving	CH2M HILL	333 Waterside Drive (Inside, hanging above food court)	found	
					
Yuma Yah	Dave Iwans	DIA Marketing & Advertising	1139 Charlotte St. - Hunton YMCA	found	
					
Mirror Mosaic II		Harbor Group	Blue Heron Realty- Cape Charles Office	found/ not public	
					
Techno Mermaid	Ces Ochoa/Darlene Stoll	InfiNet	740 Duke St. - InfiNet building	found/ not public	
					
Silver Mermaid	Liz Greene	William E. Wood	Corner of Hampton Blvd. and 21st St.	found/ not public/ damaged	
					
Heart of the Sea	Sandra Singletary	F.O.R. kids, Inc.		not public	
					
Lighted Mermaid	Debbie J. Hobbs	Sentara Healthcare	Blue Heron Realty- Cape Charles Office	not public	
					
Mer Bones	Gayle Hinkley	Denbigh Orthopaedics & Sports Medicine		not public	
					
Beauty Of The Sea	Mike Wedner	Military Circle Mall	Econo Lodge - 865 Military Hwy	not public/ being repaired	
					
Justicalthing	Sydney Meers	Rutter, Walsh, Mills & Rutter	Dunmar Moving Systems - 130 South Military Hwy	not public/ being repaired	
					
Mishell	Linda Serpe	Glasser & Glasser	Downtown Norfolk YMCA - 312 Bute St. In the lobby	not public/ being repaired	
					
Sybil	D'Art Center artists	Lyall Design Architects	125 College Dr., D'Art Center courtyard	not public/ being repaired	
					
Broadway Nights	Stephanie Stutz and Julie Woodall	Broadway at Chrysler Hall	Norfolk Scope fountain or Crysler Hall	not public/ city storage	
					
Carousel	John Moore Reed	Roper-Morgan Group/Burkhard Thomas	Town Point Park - Otter Berth	not public/ city storage	
					
See Maiden	Rachael Gilbert	Gilbert Optical	241 W. York St	not public/ city storage	
					
Maid On Time	Georgia Mason	Fed Ex		not public/ warehoused	
					
Press Party/ Media Mermaid		Mermaids on Parade	Magnolia Steak House, Colley Ave.	not public/ warehoused	
					
Flying Spirit	Ken Wright	Cederquist Rodriguez Maddux Ripley	129 W. Virginia Beach Blvd.	retired/ destroyed	
					
Beauty Underneath	Monique Milleson	Town Pointe Club		sold at auction	zapp inc. owner baught her
					
Catch Of The Day	Terry Cox-Joseph	Sture V. Sigfred, Jr. M.D. P.C.		sold at auction	
					
Penny	Ed Beardsley	Yukon Lumber		sold at auction	
					
Reach For the Stars	Kathy Prendergast	Bank of Hampton Roads		sold at auction	outer banks??
					
Spectrum Gold	Michele D. Barnes	Black & White Cabs		sold at auction	
					
The Norfolk Admiralette	Kathy Pendergrast	The Norfolk Admirals		sold at auction	
					
Timeless Elegance	Myke Irving	Frank Spicer Co	Joe Kenedy-	sold at auction	
					
Aquatic Princess	Ryan Brinkley	Wright Company LLC	258 Granby St. in window (across the street from Havana	stolen/ never recovered	
					
Sports Under The Sea	Joscelyn L. Rivers	Davis Interiors	7336 Granby St., Norfolk Collegiate Upper School	stolen/ never recovered	
					
String Of Pearls	Carrie E. Kitchell	Changes Hair and Day Spa	Ghent- across from Farm Fresh	stolen/ never recovered	
					
A New Horizon	Steven F. Morris	Lab One	Ships Cabin resteraunt- OV	unknown	
					
Accidental Tourist	Myke Irving	Norfolk Covention and Visitors Bureau		unknown	
					
Angel Of Mercy	Koreen D'Amelio	Nelson M. Karp Medical Center	TCC, across from MacArthur Center	unknown	
					
Brass Maiden	John Hickey	Levin's of Virginia		unknown	
					
Calypso	Cassandra Akers	Dominion Capital Management/ Cosmopolitan Club		unknown	
					
Collection Of Stars	National Artists' Signatures	Mermaids on Parade Committee	500 Main St., Suntrust Bank Lobby	unknown	
					
Doubloon	Myke Irving	Cenit Bank	CENIT bank	unknown	
					
Fairway Maiden	Stephanie Stutz and Angela Satterfield	Mermaids on Parade Committee		unknown	
					
Hats Off to The Navy	Koreen Damelio	Ghent on the Square Apts.	Norfolk, near Opera House on corner of Llewellyn	unknown	
					
Jealous Mistress	Joscelyn L. Rivers	Protogyrou & Rigney, PLC	215 City Hall Ave.	unknown	
					
Jewel	Bill Doughtery	Daimond & Jewelry Exchange		unknown	
					
Jewel Of The Sea	Cynthia Graf	BB&T	BB&T Branch 539 W. 21st St.	unknown	
					
Lady Of The Links	Paul S. Baker	American Golf Corporation		unknown	
					
Leading The Way	Clelia Sheppard	Judy Boone Realty	809 East Ocean View Ave.	unknown	
					
Maid Of Lobster	Mike Bell	Bay Mechanical Inc.		unknown	
					
Memory	Cathy Cox	Debbie & Matt Mervis	Stockley Gardens	unknown	
					
Mythical Sirena	Alba Bragoli	Ocean View Merchants Association	Ocean View Park, next to Pagoda	unknown	
					
Nebula/ She's Every Ocean	Carolyn Sleeper/Norfolk Collegiate Upper	Heritage Bank & Trust		unknown	
					
Norfolk, A Banner City	Betty Ann Lucaa	Northwestern Mutual Life	Town Point Club - Otter Berth	unknown	
					
Norfolk, Seagodess and Her Children	Betty Ann Lucaa	S.L. Nusbaum Realty Co.	Colonial Place - Norfolk	unknown	
					
Nymphork	Nanette Albano/Diane Murdock	HBA Architects		unknown	
					
Of The Sea	Jennifer Blythe	Bank of the Commonwealth	Bazemore's - Hampton Blvd. at foot of Lafayette Bridge	unknown	
					
Picture Frame Mermaid	Amy Posey	The Harbor Gallery		unknown	
					
Postcards From Hampton Roads	Myke Irving	Norfolk International Airport Authority	Outside Norfolk Scope Arena	unknown	
					
Reaching For A Dream	Leslie Hartig & Lisa Edwards	Merrill Lynch		unknown	
					
Reflections	Barbara Mastaglio	VMASC	7034 Azalea Garden Rd.	unknown	
					
Riverview	Ray M. Hershberger	GNC	Town Point Park	unknown	
					
Rock- Ell	Gail O'Neill Respess	Peter G. Decker Jr. & Howard Webb		unknown	
					
Shellina	Judy Saunders/ Maury High School	Ghent Business Association		unknown	
					
Spectrum	Mike Wedner	Norshipco		unknown	
					
Spirit of the Sapphire	Angie Thomas	Sapphire Creations		unknown	
					
Sue Nami	Leesa Wheeler	Hambright Calcagno & Downing		unknown	
					
The Golden Tourist	Lorraine Fink/Martha Thrasher	Norfolk International Airport Authority	Scope Plaza fountain	unknown	
					
Wavey Mermaid	Adrianne Shepard/Tabb High School	Norfolk Waterside Marriott	The Marriott in Norfolk	unknown	
					
Evening Sea Goddess	Michele D. Barnes	Dudley Cooper Realty Corp.		unknown/ contact owner if I track her down	
					
Mermaid Of Justice	Bess Decker	Decker Cardon Weintraub and Neskis	Inside courthouse on St. Paul's Blvd.		
